modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego (ATP),Atego (ATP)_0,30A,1,0.0,326.0,330.0,656.0,326.0
Atego (ATP),Atego (ATP)_0,31A,1,0.0,330.0,656.0,986.0,330.0
Atego quinta roda,Atego quinta roda_1,30B,2,0.0,326.0,660.0,986.0,326.0
Atego quinta roda,Atego quinta roda_1,31B,2,0.0,330.0,986.0,1316.0,330.0
Atego quinta roda,Atego quinta roda_2,30B,2,0.0,326.0,990.0,1316.0,326.0
Atego quinta roda,Atego quinta roda_2,31B,2,0.0,330.0,1316.0,1646.0,330.0
Atego (ATP),Atego (ATP)_0,32A,1,0.0,677.0,986.0,1663.0,677.0
Atego quinta roda,Atego quinta roda_1,32B,2,0.0,557.0,1316.0,1873.0,557.0
Accelo,Accelo_4,30A,1,0.0,253.0,1650.0,1903.0,253.0
Actros,Actros_3,30B,2,0.0,752.0,1320.0,2072.0,752.0
Accelo,Accelo_4,31A,1,0.0,316.0,1903.0,2219.0,316.0
Accelo,Accelo_5,30A,1,0.0,253.0,1980.0,2233.0,253.0
Atego quinta roda,Atego quinta roda_2,32B,2,227.0,557.0,1873.0,2430.0,557.0
Atego quinta roda,Atego quinta roda_1,32D,2,0.0,588.0,1873.0,2461.0,588.0
Atego (ATP),Atego (ATP)_0,32C,1,0.0,815.0,1663.0,2478.0,815.0
Accelo,Accelo_5,31A,1,0.0,316.0,2233.0,2549.0,316.0
Accelo,Accelo_4,32A,1,0.0,354.0,2219.0,2573.0,354.0
Atego,Atego_6,30A,1,0.0,314.0,2310.0,2624.0,314.0
Actros,Actros_3,31B,2,0.0,555.0,2072.0,2627.0,555.0
Atego quinta roda,Atego quinta roda_1,33B,2,0.0,376.0,2461.0,2837.0,376.0
Atego (ATP),Atego (ATP)_0,33A,1,0.0,376.0,2478.0,2854.0,376.0
Accelo,Accelo_5,32A,1,24.0,354.0,2573.0,2927.0,354.0
Atego,Atego_6,31A,1,0.0,314.0,2624.0,2938.0,314.0
Atego (ATP),Atego (ATP)_7,30A,1,0.0,326.0,2640.0,2966.0,326.0
Atego quinta roda,Atego quinta roda_2,32D,2,31.0,588.0,2461.0,3049.0,588.0
Accelo,Accelo_4,32C,1,0.0,561.0,2573.0,3134.0,561.0
