;;;;;;;;;;;;;;;;;;;
;;;YAMAZUMI;;;;;;;;;;;;;;;;
;;;PROJETO PRODUTIVIDADE 2024;;;;;;;;;;;;;;;;
;Insira os dados para gerar o Yamazumi;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Atividade;Classificação;Arrefec.;Diesel;Reaperto;5ª Roda;Estepe;Pneu LD;Pneu LE;Aperto LD;Aperto LE;Grade;Mecânica 1;Mecânica 2;Elétrica 1 ;Elétrica 2;Controle ;Motorista;Quis
;Andar até o carrinho de ferramentas do ar condicionado.;ÑAG;00:00:05;;;;;;;;;;;;;;;;
;Pegar as chaves, o torquímetro, dispositivo do ar condicionado e o pincel com lubrificante sintético, levar todos os itens até o veículo e apoiar as chaves e o torquímetro no suporte do para-choque.;ÑAG;00:00:07;;;;;;;;;;;;;;;;
;Remover as tampas provisórias das tubulações do ar-condicionado e do arrefecimento, aplicar lubrificante sintético nas conexões das mangueiras, rosquear as mangueiras nas conexões do ar condicionado e apertar até o torque especificado.;AGR;00:00:40;;;;;;;;;;;;;;;;
;Após o aperto, levar o pincel, as chaves e o torquímetro de volta ao carrinho de ferramentas.;ÑAG;00:00:07;;;;;;;;;;;;;;;;
;Deslocar-se até a máquina de abastecimento do líquido de arrefecimento, pegar o adaptador, andar até o veículo e conectá-lo ao reservatório do líquido de arrefecimento.;ÑAG;00:00:09;;;;;;;;;;;;;;;;
;Voltar até a máquina e pegar a mangueira para abastecer o reservatório de arrefecimento.;AGR;00:00:06;;;;;;;;;;;;;;;;
;Andar até o adaptador, conectar a mangueira corretamente e pressionar o botão verde para fixar a máquina ao adaptador e iniciar o abastecimento.;AGR;00:00:07;;;;;;;;;;;;;;;;
;Pegar a mangueira transparente fornecida e conectá-la na mangueira preta localizada na parte traseira do reservatório.;AGR;00:00:04;;;;;;;;;;;;;;;;
;Andar até a máquina de abastecimento de ar condicionado.;ÑAG;00:00:03;;;;;;;;;;;;;;;;
;Pegar as mangueiras de alta e baixa pressão, deslocar-se até o veículo e conectá-las nas posições corretas das tubulações do ar-condicionado.;AGR;00:00:05;;;;;;;;;;;;;;;;
;Pressionar os botões verdes para iniciar o processo.;AGR;00:00:05;;;;;;;;;;;;;;;;
;Voltar até a máquina de abastecimento de ar-condicionado e pegar o suporte separador (A0009958665), que impede o atrito das mangueiras do ar-condicionado.;AGR;00:00:06;;;;;;;;;;;;;;;;
;Andar até o veículo;ÑAG;00:00:03;;;;;;;;;;;;;;;;
;Posicionar o suporte separador no espaço entre as mangueiras.;AGR;00:00:08;;;;;;;;;;;;;;;;
;Aguardar o término do abastecimento do ar-condicionado, o painel da máquina ficará verde, indicando que as mangueiras podem ser removidas.;ÑAG;00:01:15;;;;;;;;;;;;;;;;
;Pressionar o botão vermelho para liberar as mangueiras e concluir o processo, levar as mangueiras de volta à posição de descanso correta, deslocar-se até o veículo para fechar as tubulações do ar-condicionado com as tampas apropriadas.;AGR;00:00:10;;;;;;;;;;;;;;;;
;Deslocar-se até a máquina de abastecimento do líquido de arrefecimento e verificar se o processo foi concluído, remover a mangueira transparente da mangueira preta localizada atrás do reservatório.;ÑAG;00:01:26;;;;;;;;;;;;;;;;
;Pressionar o botão vermelho no engate da máquina para liberar o conector e finalizar o processo, após isso, deslocar a mangueira de arrefecimento para o local apropriado.;AGR;00:00:07;;;;;;;;;;;;;;;;
;Voltar ao reservatório de arrefecimento para remover o adaptador de abastecimento e fechar o reservatório com a tampa.;ÑAG;00:00:12;;;;;;;;;;;;;;;;
;Guardar o adaptador de abastecimento e a mangueira de líquido de arrefecimento no local apropriado.;ÑAG;00:00:09;;;;;;;;;;;;;;;;
;Pegar o adaptador para o abastecimento de ar.;ÑAG;;00:00:06;;;;;;;;;;;;;;;
;Levar até o veículo e rosquear o adaptador na APU.;ÑAG;;00:00:36;;;;;;;;;;;;;;;
;Remover a tampa provisória do tanque de combustível e do reservatório do arla e liberar a tubulação da sangria, jogar as tampas no coletor de lixo plástico.;ÑAG;;00:00:05;;;;;;;;;;;;;;;
;Remover a tampinha de borracha do climatizador.;ÑAG;;00:00:05;;;;;;;;;;;;;;;
;Andar até a máquina de abastecimento de ar comprimido;ÑAG;;00:00:05;;;;;;;;;;;;;;;
;Retirar a mangueira de abastecimento de ar do suporte, levá-la até o veículo e conectar ao adaptador de ar.;AGR;;00:00:13;;;;;;;;;;;;;;;
;Deslocar-se até a botoeira para dar início ao processo de abastecimento de ar.;AGR;;00:00:05;;;;;;;;;;;;;;;
;Retornar à máquina de abastecimento para pegar a mangueira de diesel e a mangueira de sangria.;ÑAG;;00:00:06;;;;;;;;;;;;;;;
;Posicionar a pistola de diesel na entrada do tanque e conectar a mangueira de sangria na tubulação previamente desacoplado, em seguida, acionar o gatilho da pistola de diesel e abrir o registro da sangria.;AGR;;00:00:15;;;;;;;;;;;;;;;
;Retornar à máquina de abastecimento.;ÑAG;;00:00:11;;;;;;;;;;;;;;;
;Pegar a pistola de abastecimento de arla, conduzi-la até o veículo, posicioná-la no reservatório e acionar o gatilho;AGR;;00:00:11;;;;;;;;;;;;;;;
;Deslocar-se até a máquina de abastecimento do climatizador.;ÑAG;;00:00:08;;;;;;;;;;;;;;;
